2019-01,Alberta,Employment,Females,1074.7
2019-01,Alberta,Employment,Males,1253.1
2019-01,British Columbia,Employment,Females,1226.4
2019-01,British Columbia,Employment,Males,1320.8
2019-01,Manitoba,Employment,Females,309.6
2019-01,Manitoba,Employment,Males,347.8
2019-01,New Brunswick,Employment,Females,176.4
2019-01,New Brunswick,Employment,Males,179.2
2019-01,Newfoundland and Labrador,Employment,Females,113.5
2019-01,Newfoundland and Labrador,Employment,Males,118.8
2019-01,Nova Scotia,Employment,Females,230.8
2019-01,Nova Scotia,Employment,Males,234.8
2019-01,Ontario,Employment,Females,3514.9
2019-01,Ontario,Employment,Males,3834.3
2019-01,Prince Edward Island,Employment,Females,37.7
2019-01,Prince Edward Island,Employment,Males,37.9
2019-01,Quebec,Employment,Females,2055.1
2019-01,Quebec,Employment,Males,2249
2019-01,Saskatchewan,Employment,Females,264.2
2019-01,Saskatchewan,Employment,Males,312.5
2019-05,Alberta,Employment,Females,1086.3
2019-05,Alberta,Employment,Males,1260.7
2019-05,British Columbia,Employment,Females,1236.4
2019-05,British Columbia,Employment,Males,1339.4
2019-05,Manitoba,Employment,Females,306.9
2019-05,Manitoba,Employment,Males,347.3
2019-05,New Brunswick,Employment,Females,175.8
2019-05,New Brunswick,Employment,Males,182.6
2019-05,Newfoundland and Labrador,Employment,Females,110.5
2019-05,Newfoundland and Labrador,Employment,Males,115.8
2019-05,Nova Scotia,Employment,Females,232.5
2019-05,Nova Scotia,Employment,Males,236.3
2019-05,Ontario,Employment,Females,3546
2019-05,Ontario,Employment,Males,3889.4
2019-05,Prince Edward Island,Employment,Females,38.1
2019-05,Prince Edward Island,Employment,Males,39.2
2019-05,Quebec,Employment,Females,2072.8
2019-05,Quebec,Employment,Males,2255.1
2019-05,Saskatchewan,Employment,Females,264.9
2019-05,Saskatchewan,Employment,Males,314.6
2019-09,Alberta,Employment,Females,1086.1
2019-09,Alberta,Employment,Males,1260.6
2019-09,British Columbia,Employment,Females,1223.5
2019-09,British Columbia,Employment,Males,1327.1
2019-09,Manitoba,Employment,Females,305.1
2019-09,Manitoba,Employment,Males,349
2019-09,New Brunswick,Employment,Females,175.1
2019-09,New Brunswick,Employment,Males,180.5
2019-09,Newfoundland and Labrador,Employment,Females,108.7
2019-09,Newfoundland and Labrador,Employment,Males,115.9
2019-09,Nova Scotia,Employment,Females,233.2
2019-09,Nova Scotia,Employment,Males,233.6
2019-09,Ontario,Employment,Females,3585.6
2019-09,Ontario,Employment,Males,3933.7
2019-09,Prince Edward Island,Employment,Females,38.8
2019-09,Prince Edward Island,Employment,Males,40.2
2019-09,Quebec,Employment,Females,2094.7
2019-09,Quebec,Employment,Males,2280.8
2019-09,Saskatchewan,Employment,Females,266.9
2019-09,Saskatchewan,Employment,Males,315.7
2020-01,Alberta,Employment,Females,1063.6
2020-01,Alberta,Employment,Males,1254.9
2020-01,British Columbia,Employment,Females,1206.6
2020-01,British Columbia,Employment,Males,1339
2020-01,Manitoba,Employment,Females,307.3
2020-01,Manitoba,Employment,Males,353.6
2020-01,New Brunswick,Employment,Females,176.2
2020-01,New Brunswick,Employment,Males,184.7
2020-01,Newfoundland and Labrador,Employment,Females,110.7
2020-01,Newfoundland and Labrador,Employment,Males,111.8
2020-01,Nova Scotia,Employment,Females,232
